Gardiners,Transliteration,English
Aa1D21G43A15N23Z1Z3,xrw,low - lying land
Aa1D21E23Z2,xrw,low - lying land
Aa1E23N23Z2,xrw,low - lying land
Aa1D21A15N23Z1,xrw,low - lying land
Aa1D21M17M17X1E1Z2,xryt,butchery
P8G43A2,xrw,"voice, noise"
Aa1D21P8E23G43A2,xrw,"voice, noise"
P8G43Y2S29N35Z2,xrw .sn,so say they
Aa1D21P8S29N35Z2,xrw .sn,so say they
Aa1D21P8A2S29N35Z2,xrw .sn,so say they
P9Z4,xrw .fy,says
P9,xrw .fy,says
P8I9Z4,xrw .fy,says
Aa1D21P8I9Z4,xrw .fy,says
Aa1D21P8E23Z7M17M17A24A1,xrwy,enemy
P8G43A14,xrwy,enemy
P8G43D40,xrwy,enemy
P8M17M17A24A13,xrwy,enemy
P8Z7M17M17A24Z6,xrwy,enemy
P8G43M17M17G43D40Z2,xrwyw,war
P8Z7M17M17Z6,xrwyw,war
P8G43M17M17X1D40Z2,xrwyt,war
Aa1D21P8M17M17X1A24,xrwyt,war
S42,xrp,baton of office
Aa1D21Q3D44,xrp,"govern, control, administer, act as controller,
direct someone"
Aa1D21Q3D44,xrp,"drive cattle, lead, get ahead with work,
undertake works"
Aa1D21Q3D44,xrp,"bring, provide, make offering of, dedicate"
D44,xrp,"bring, provide, make offering of, dedicate"
S42,xrp,undertake works
Aa1D21Q3D44F34Z1,xrp ib,having authority
Aa1D21Q3D44,xrp,"controller, administrator"
S42,xrp,"controller, administrator"
S42A1,xrp,"controller, administrator"
Aa1D21X1Q3D44Z2,xrpt,"dues, taxes"
S42Z1N23,xrp,"district ?, estate ?"
S42N23,xrp,"district, estate"
Aa1D21Q3G43U22,xrpw,mallet
Aa1D21Q3G43M3,xrpw,mallet
Aa1N37D21V1,xrS,bundle
Aa1D21N37M181,xrS,bundle
Aa1N37D21M2,xrS,bundle
Aa1Aa1F10,xx,"neck, throat"
Aa1O34N21Z1,xs,creek
Aa1O34Z4M2,xsy,bribe
Aa1O34Aa18Z4Z4Z4G37,xsy,bribe
Aa1O34Aa18G1M17M17X1M2Z2,xAsyt,bryony
Aa1S29D58I10N33Z2,xsbD,lapis lazuli
Aa1O34D58D46N33A,xsbD,lapis lazuli
Aa1S29D58I10D12,xsbD,"blue, blue-black of hair"
Aa1S29D58D46N33Z2,xsbD,"blue, blue-black of hair"
Aa1S29U34,xsf,spin yarn
U35A24,xsf,"drive away, ward off, oppose, repel, repress
crime, redress wrong"
U35A24,xsf,"reprove words, drive cattle, divert water,
avoid anger, prevent"
Aa1S29I9U34A24,xsf,"drive away, ward off, oppose, repel, repress
crime, redress wrong"
Aa1S29I9U34A24,xsf,"reprove words, drive cattle, divert water,
avoid anger, prevent"
U35A24,xsf,punish
U35A24,xsf,"punishment, disapproval"
Aa1S29I9U34A24,xsf,punish
Aa1S29I9U34A24,xsf,"punishment, disapproval"
U35A24I9N35I9I10O34I9,xsf .f n .f Ds .f,that he may confute himself
U35A24D21,xsf r,contend against
U35A24D2Z1,xsf Hr,defend
U35A24D36Z1,xsf a,"oppose, opposition"
Aa1S29I9X1U35,xsft,punishment
U35X1A24,xsft,punishment
Aa1S29U34I9,xsf,opponent
G17U35G43D54,m xsfw,at the approach of in meeting
U35G43D54I9,xsfw .f,near him
D4U35G43D54,ir xsfw,meet
Aa1S29U34I9P4,xsfw,sail upstream
Aa1S29U34I9G43X1P1,xsfw,sail upstream
U34X1D54,xsfw,sail upstream
Aa1S29U34I9X1P1,xsfw,sail upstream
Aa1S29U35M17M17X1P1,xsfw,sail upstream
Aa1S29D21D40,xsr,"dispel, drive away darkness, evil etc , clear a
road, remove dirt"
Aa1O34D21V29D40,xsr,"dispel, drive away darkness, evil etc , clear a
road, remove dirt"
Aa1O34D21V29A24,xsr,"dispel, drive away darkness, evil etc , clear a
road, remove dirt"
Aa1O34D21V29V12D40,xsr,"dispel, drive away darkness, evil etc , clear a
road, remove dirt"
M3X1Z1,xt,"wood, timber, tree, woodland, mast, stick,
pole, rod measurement"
M3X1Z1N35S34N35Aa1,xt n anx,embodiment of food
M3Aa1X1N35S34N35Aa1,xt n anx,embodiment of food
M3X1Z1N35S34M2Z2,xt n anxw,staff-of-life plants
D36X1N35X1M3X1Z1O1,at nt xt,orchard
D21M3X1Z1,r xt,under the authority of
D21M3Aa1X1D54,r xt,under the authority of
M3X1Z1N35N35U19W24V28V1,xt n nwH,rod of cord linear measure of 100 cubits
M3X1Z1P5G43M3Z1,xt TAw,mast
M3Z1N35D3,xt n Sny,a type of tree
M3Aa1X1G43X1M3M3M3Z2,xtwt,furniture
M3X1M17M17X1M3Z2,xtwt,furniture
M3Aa1X1M17M17X1M3Z2,xtwt,furniture
M3Aa1X1D54,xti,"retire, retreat"
M3Aa1X1D55,xti,"retire, retreat"
N42G17M3Aa1X1D55,Hm xt,retreat
M3Aa1X1D54,xt,"through, throughout, pervading"
M3Aa1X1G4D54Z2N16N23Z1,xtyw tA,who pervade the land
M3Aa1X1G43D54Z2,xtw,menials
M3Aa1X1X1O1Z1,xtt pr,house - servant
M3X1X1O1,xtt pr,house - servant
Aa1X1X1O1Z1,xtt pr,house - servant
Aa1X1X1D54O1Z1,xtt pr,house - servant
M3Aa1X1T31D40,xti,"carve, engrave"
Aa1X1D51D40,xti,"carve, engrave"
Aa1X1U30G1N25,xtA,Hatti
Aa1X1U30G1D54,xtA,creep up to
M3Aa1X1G4N23Z1,xtyw,threshing - floor
M3Aa1X1G4M35Z1,xtyw,threshing - floor
M3Aa1X1G4O40,xtyw,"platform, dais, terraced hillside"
O40,xtyw,"platform, dais, terraced hillside"
M3O29G39,xt aA,"an edible bird, poultry"
Aa1X1G17S20,xtm,seal
S20,xtm,seal
S20Y2,xtm,seal
S20Z1O39,xtm,seal
Aa1X1S20,xtm,seal
Aa1X1G17S20,xtm,"seal, put a seal on, contract with someone,
close doors, include, mix ingredients"
S20G17A24,xtm,seal
Aa1X1G17S20D40,xtm,seal
Aa1X1G17S20O1,xtm,"chest, storehouse, fort"
S20G17O1,xtm,chest
Aa1X1G17O1,xtm,fort
S20O1,xtm,fort
Aa1X1G17S20Y1,xtm,contract
Aa1X1G17X1S20Y1,xtmt,contract
S20X1Y1,xtmt,contract
S20Aa1X1Y1,xtmt,contract
Aa1X1G17X1Y1,xtmt,contract
Aa1G17X1S20,xtm,valuables ?
S20Z1E1Z2,xtmw,cattle
Aa1X1G17M17M17S20A1,xtmy,seal - maker
Aa1X1G17M17M17X1S20O1,xtmyt,sealed chamber
M3X1M3X1,xtxt,through
M3Aa1X1M3Aa1X1D55,xtxt,"turn back, nullify, reverse a contract, come
and go of pain"
G17M3Aa1X1M3Aa1X1D55,m xtxt,backwards
Aa1X1X1,Xtt,pluck plants
Aa1D46O38,xwd,rich
Aa1D46P1,xdi,"travel downstream, northwards, flow of water,
North"
G17Aa1D46P1,m xd,downstream
Aa1D46X1Y1,xdt,land - register
Aa1D46N26Z7G39Z2,xdDw,waterfowl
Aa1I10M17M17Y1Z2,xDy,riches
F32X1Z1,Xt,"belly, womb, body, sole of foot"
F32,Xt,"belly, womb, body, sole of foot"
F32F32F32,Xtw,"bellies, wombs, bodies"
S29Aa1D21Y1VF32X1Z1,sxr Xt,thought
M17Z11G43Z2F32X1Z1,imyw Xt,thoughts
F32X1Z1A1B1Z2,Xt,"body of gods or man, generation, people"
F32X1Z2,Xt,people
F32D12X1,Xt,belly of gods or men
K4X1Z1K5,XAt,oxyrhynchus fish mormyrus kannume
K4X1Aa2,XAt,corpse
A55,XAt,corpse
K4X1G1A14,XAt,corpse
K4G1M17M17X1Aa2Z2,XAyt,heap of corpses
K4G1X1A14Z2,XAyt,heap of corpses
K4G1X1Aa2Z3,XAt,disease
K4G1X1N23,XAt,marsh
K4G1G1M3,XAA,clothes peg ?
K4G1G1Y1,XAA,resolute
K4G1M17M17A24,XAy,thwart someone
K4G1M17M17A2,XAy,thwart someone
K4G1D58X1V1,XAbt,curl on Red crown
K4D58V1,XAbt,curl on Red crown
K4G1D58U1,XAb,clavicle
K4G1D58Z5F51,XAb,clavicle
K4G1D58U1M3,XAb,sickle
K4G1D58U1B,XAb,"crooked, crookedness, crookedly"
K4G1D58U1BD41,XAb,"crooked, crookedness, crookedly"
K4G1D58U1BD41,XAb,"crooked, crookedness, crookedly"
K4G1D58D58F19F19,XAbb,crookedness
K4G1G17D32,XAm,bend down arms in respect
K4G1G17X1W22Z2,XAmt,a type of beer
K4G1G17X1D32,XAmt,a type of beer
K4G17D200Aa1X1Y1Z2,XAmt xt,type of offerings
K4D21V19,XAr,"sack, leather bag"
V19,XAr,"sack, leather bag"
K4G1D21V19Z1,XAr,"sack, leather bag"
K4G1D21X1D3B1,XArt,widow
K4G1D21X1B1,XArt,widow
K4G1D21X1G37B1,XArt,widow
K4G1K4G1U33N4,XAXAti,storm
K4G1V31G43F34Z1A13Z3,XAkw ib,disaffected persons
F32D36D36G43N33Z2,Xaaw,"measure, allowance of milk"
F32D36G17D54,Xam,approach
F32G17D36D54,Xam,approach
N28D36G17D54,Xam,approach
F32D36N29U37,Xaq,shave
F32D36N29Z7U37A24,Xaqw,barber
U37G43,Xaqw,barber
F32Q3G43Aa2Z2,Xpw,figures inlaid in metal
Aa2Z2,Xpw,figures inlaid in metal
F32Q3G41G1G43Aa2F51,XpAw,"navel - string, navel"
F32Q3Aa2,XpAw,"navel - string, navel"
F32Q3G1F27,XpAw,"navel - string, navel"
F32Q3D36A2,Xpa,chew
F32Q3N35F1,Xpn,fat
F32G17D36D54,Xma,approach
F32G17S29D41,Xms,bend the back in respect
F32N35Aa2,Xn,be blistered
F26N35S28,Xn,tent
F26N35X1F27,Xnt,"hide, skin"
F26N35X1O1,Xnt,burial chamber ? of tomb
F26N35D54,Xn,approach
D33N35P1,Xni,"row, convey by water"
D33N35P1A24,Xni,row
D33N35D40,Xni,row
D33N35X1P1,Xnt,water procession
D33N35X1P1Y1Z2,Xnt,water procession
D33X1P1,Xnt,water - procession
D33N35M17M17X1A1Z2,Xnyt,sailors
D33N35M17M17X1D40A1Z2,Xnyt,sailors
D33N35W24G43A1,Xnw,sailor
D33W24A1,Xnw,sailor
F26N35W24G43O1,Xnw,"interior, home, abode, Residence"
F26N35O1,Xnw,"interior, home, abode, Residence"
F26N35O1O49,Xnw,Residence
F26W24O1Z1,Xnw,"interior, home, abode, Residence"
W24N35A,Xnw,"interior, home, abode, Residence"
G17F26N35W24G43O1,m Xnw,"within, at, in the house of"
F26N35W24G43O1,Xnw,inside
D21F26N35W24G43O1,r Xnw,"within, into"
F26W24D36D36,Xnw awy,embrace
G17F26W24D36D36,m Xnw awy,within
F26N35W24G43N35AN36,Xnw,brook
F26N35W24G43G4F27T14A1Z2,Xnwtyw,skin - clad people
W9G17Y1,Xnm,"join, unite with, enclose, enfold, protect,
take, enter, wear, receive, enrich, endue, lie on"
W9G17Y1,Xnm,"be united, associated with, be provided,
endowed with"
W9,Xnm,"be united, associated with, be provided,
endowed with"
W9G17F27Z2,Xnm,herd
E30Z2,Xnm,herd
W9Z7A1B1Z2,Xnmw,"citizens, dependants, married couple ?"
W9A1Z2,Xnmw,"citizens, dependants, married couple ?"
W9N35G17A1Z2,Xnmw,"citizens, dependants, married couple ?"
W9N35T34G17A1Z2,Xnmw,"citizens, dependants, married couple ?"
W9B1,Xnmt,dry - nurse
F26N35T34G17N35AN36N23Z1,Xnm,basin for irrigation ?
W9G17X1N37,Xnmt,"well, cistern"
W9X1N35A,Xnmt,"well, cistern"
W9X1N36,Xnmt,"well, cistern"
W9X1N42N35A,Xnmt,"well, cistern"
W9G17Z7G7,Xnmw,Khnum god
W9G43,Xnmw,Khnum god
W9G17Z7C4,Xnmw,Khnum god
W9G17Z7F7,Xnmw,Khnum god
W9G17Z7E11,Xnmw,Khnum god
E193A,Xnmw,Khnum
D33N35N35A24,Xnn,"disturb, interfere with persons, commands,
confound truth"
D33N35N35A24,Xnn,"inflamed, irritated medical"
D33N35N35A24E21,Xnn,"disturb, interfere with persons, commands,
confound truth"
D33N35N35A24E21,Xnn,"inflamed, irritated medical"
D33N35N35Aa2,Xnn,"inflamed, irritated medical"
D33N35N35W24G43D40Z2,Xnmw,"tumult, uproar"
D33N35N35W24G43E21D40Z2,Xnmw,"tumult, uproar"
D33N35N35W24G43N4D40Z2,Xnmw,"tumult, uproar"
D33N35N35W24Z7E21A24A1Z2,Xnnw,brawlers
D33N35U33A22,Xnty,statue
D33A53,Xnty,statue
D33X1Z4A53,Xnty,statue
D33N35X1A22,Xnty,statue
D33N35U33A22S34N35Aa1,Xnty anx,living semblance
T28D21,Xr,"under, carrying, holding, possessing"
T28D21,Xr,"at head or foot, through of means, subject to
someone's actions"
T28D21Z4,Xry,"which is under, lower, having, possessing,
suffering from illness"
T28D21X1Y1Z2,Xrt,"possessions, belongings, share, portion,
requirements, due 9from, duty, skill"
T28X1,Xrt,"possessions, belongings, share, portion,
requirements, due 9from, duty, skill"
N33D21M17M17N33AV,Xry,Myrrh
T28D21A1B1Z2,Xrw,"relatives of family, underlings, inhabitants of
land"
T28A1B1Z2,Xrw,"relatives of family, underlings, inhabitants of
land, household members"
T28D21G43A1Z2,Xrw,men
T28D21G43N23Z1,Xrw,"base, lower part, underside"
T28D21Z4,Xrw,"base, lower part, underside"
T28D21N23Z2,Xrw,"base, lower part, underside"
N35T28D21G43N23Z1,n Xrw,downwards
D21T28D21G43N23Z1,r Xrw,below
D21T28D21,r Hrw,below
T28D21G43Z4D283,Xrwy,testicles
T28D21G43D283,Xrwy,testicles
T28D21D36Z1,Xr a,"under the hand of, in the charge of"
T28D36,Xr a,"under the hand of, in the charge of"
T28D21D36Z1A1,Xry a,"apprentice, assistant"
T28D21D36Z1V1,Xry a,halliard
T28D21X1D36G37Z2,Xrt a,deceit
T28D21X1D36Y1Z2,Xrt a,writing materials
R8T28D21N25,Xrt nTr,necropolis
R10,Xrt nTr,necropolis
R10D21N25,Xrt nTr,necropolis
R50X1,Xrt nTr,necropolis
R8G131BN25,Xrt nTr,necropolis
G131,Xrt nTr,necropolis
G131B,Xrt nTr,necropolis
R50A1,Xrty nTr,stone mason
T28R8G4A1Z2A,Xrtyw nTrw,stone masons
R50D21G4A1Z2,Xrtyw nTrw,stone masons
R8T28X1G4D40Z2,Xrtyw nTrw,stone masons
V28T28D58,Xry Hbt,lector priest
W5AA1,Xry Hbt,lector priest
W5,Xry Hbt,lector priest
T28D21V28D58W3N5A1,Xry Hbt,lector priest
T28D21Z4F32X1Z1,Xry Xt,"abdomen, under-side of sky"
T28D21Aa17Z1,Xry sA,the hindermost ?
T28D21D1Z1,Xr tp,"under the head of, beside"
M23T28D1,Xr tp nsw,chamberlain
M23D1T28,Xr tp nsw,chamberlain
T28D1N5,Xr tp ra,the spirits who attend Re
F32D21D46A17A1,Xrd,child
A17A1,Xrd,child
F32D21D46G37A1B1,Xrdw,children
F32D21D46A17A1,Xrd,"be, become a child"
A17A1,Xrd,"be, become a child"
F32D21D46X1A17Z2,Xrdt,children
F32D21D46A17Z3,Xrdw,childhood
F32D21D46G37,Xrd,calf of gazelle
F32O34G37,Xsy,"weak, feeble, humble of rank, mean of
conduct, vile of enemies, speech"
F32O34Z4G37,Xsy,vile of enemies
F32O34G37D2Z1F34Z1,Xs Hr ib,incompetent
S24O34Y1F32O34G37,Ts Xsy,crime ?
F32O34X1G37,Xst,"cowardice, riual impurity"
F32O34Z4G37A1,Xsy,coward
F32O34M17M17X1G37Z2,Xsyt,wrongdoing
F32S29G1Aa2,XsA,be unanointed
F32O34Aa17G1D3,XsA,be unanointed
F32O34Aa17G1M17M17X1D3N33Z2,XsAyt,type of spice
F32O34M17M17X1N33Z2,XsAyt,type of spice
F32O34M17M17X1M3Z2,XsAyt,type of spice
F32O34G1M17M17X1N33Z2,XsAyt,type of spice
F32O34D21V29A24,Xsr,dispel
F32N29S29G37,Xqs,be injured
F32N29S29X1G37D12,Xqst,the  injured  Eye of Horus
F32V31D21Aa30Y1,Xqr,be adorned
F32V31D21M17M17Aa30A1,Xqry,coiffeur
N37V31D21M17M17Aa30A1,Xqry,coiffeur
F32V31D21X1Aa30B1,Xkrt,"coiffeuse, concubine"
F32V31D21Aa30Aa30Aa30,Xkrw,"panoply, insignia, ornaments"
F32V31D21Aa30Y1V,Xkrw,"panoply, insignia"
Aa30Y1VZ2,Xkrw,"panoply, insignia"
Aa30,Xkrw,insignia
Aa30Z3,Xkrw,ornaments
N37V31D21Aa30Z2,Xkrw,ornaments
F32V31D21G43Aa30Y1Z2,Xkrw,ornaments
F32V31D21M17M17X1Aa30Z3,Xkryt,insignia
F32X1D58A15D40,Xtb,overthrow
F32X1X1D40,Xtt,"pluck plants, to prey on"
Aa1X1X1,Xtt,"pluck plants, to prey on"
F32D46D58A24,Xdb,kill
F32D46D58T31D40,Xdb,kill
F32D46D21D36,Xdr,rescue ?
F32D46D21G37,Xdr,be in discomfort
O34Z1,s,doorbolt
O34Z1M3,s,doorbolt
S29,s,"she, her, it, its"
O34,s,"she, her, it, its"
S29Z1,s,ornamental vessel
O34T49,s,sheaf of arrows
O34A1Z1,s,"man, someone, anyone, no-one, man of rank"
O34A1Z1V30,s nb,"everyone, each one, each"
O34M17Z1,s,"man, someone, anyone, no-one, man of rank"
O34Z1,s,"man, someone, anyone, no-one, man of rank"
O34M2Z1,s,"man, someone, anyone, no-one, man of rank"
O34X1B1,st,"woman, wife"
O34X1N42X1B1,st Hmt,"woman, wife"
O34X1G39,st,pin-tail duck
G39X1B3,st ms,egg - laying duck
O34X1N25,smyt,"desert, necropolis"
S29E10,sr,sheep
O34X1V1,stAw,injury
Q1X1O1,st,"seat, throne, place, grounds of house,
department, office, storehouse, position, rank of official"
Q1X1O1F34Z1,st ib,"favourite, favourite place, wish, affection"
Q1X1D36Z1G37Z2,st a,stroke of malignant beings
Q1X1O1Y5N35M17Z4T14Z6,st mni,the state of dying
Q1X1O1F20Z1F51,st ns,speech
Q1X1O1D21Z1,st r,utterance
Q1X1O1D56Z1,st rd,"rank, station"
Q1X1O1D21D46D56D56,st rdwy,"rank, station"
T28D21Q1X1O1D2Z1,Xr st Hr,supervision
Q1X1O1R8M17M17X1,st nTryt,divine state
Q1O4G1A9,st hA,liability to corvee
Q1Aa1Z1X1X2W22Z8,st xt,meal
Q1X1O1S29D60N35A,st swab,cleanliness
Q1S29D28U13,st skA,ploughing
Q1X1O1F36G1Y1N16N23Z1,st smA tA,interment
Q1X1O1N29D58X1W15N35A,st qbt,entertainment
Q1X1O1N29D21S29Q6D40,st qrs,the state of  being coffined
Q1X1O1T19N35X1G37Z2,st qsnt,evil - case
Q1X1O1Q2,st qsnt,evil case
Q1U33M17,sti,successor
Q1X1X1O1,stt,successor
G39A1,sA,son
G39Z1U7I9A1,sA mr .f,a son who loves ritual impersonator of Horus
M23G39,sA nsw,"king's son, viceroy"
M23X1N35G39A1,sA nsw,"king's son, viceroy"
M23G39Z1D1Q3,sA nsw tp,first king's son a priest
G39N5,sA ra,son of Re
G39X1B1,sAt,daughter
M23X1N35G39Z1X1,sAt nsw,king's daughter
G39G39L2L2X1A40,sAty bity,the royal twins  Shu and Tefnut
G39X1Z4G39D58A40,sAty gb,son of Geb
G39,sA,land measure of 1/8 aroura
G39Z1I15,sA,maggot
O34G39X1M3,sAtw,ground
O34G39G1D54,sA,betake oneself to
M17O34G39G1,sA,betake oneself to
V16,sA,cattle - hobble
V16O1Z1,sA,byre
Aa18Z1O1,sA,byre
O34O1Z1,sA,byre
S29Aa17O1,sA,byre
Aa17Z1,sA,byre
V17Z1,sA,amulet
V17Z1Y1Z2,sA,protection
V17,sA,protection
V16,sA,protection
V17A1Z2,sA,"phyle of priests, company, regiment of troops,
troop of animals"
V16A1Z2,sA,"phyle of priests, company, regiment of troops,
troop of animals"
Z11V17A1,imy sA,attendant
V17G43A1,sAw,magician
V16,sAw,magician
A47G1Z7A24,sAw,"guard, ward off, restrain, heed"
A47G43A24,sAw,"guard, ward off, restrain, heed"
A47G1D40,sAw,"guard, ward off, restrain, heed"
O34G39G1Z7A47A24,sAw,"guard, ward off, restrain, heed"
V16G1D96,sAw,"guard, ward off, restrain, heed"
O34D96G1G43,sAw,"guard, ward off, restrain, heed"
G39Z2O1Z2,sAw prw,guards
A47G43,sAw,"guardian, warden"
O34G39G1M17M17G43D40Z2,sAww,"guardians, wardens"
A47G1G43X1D40Z2,sAwt,"watch and ward, warding off evil"
D4A47G1G43X1D40Z2,ir sAwt,stand guard against
O34G39G1G43X1A47Z3,sAwt,"watch and ward, warding off evil"
A47G1G43X1Z4D40,sAwty,guardian
Aa17Z1,sA,back
G17Aa17Z1,m sA,"at the back of, following after, having charge
of, wearing sandals"
D21Aa17Z1,r sA,after
D2Z1Aa17Z1,Hr sA,"upon, outside, after, in turn"
Aa18Z1,sA,back
S29Aa17G1X1O36,sAt,wall
O34G39G1X1O36N23Z1,sAt,wall
A47G1D54,sAi,"linger, await, creep"
A47D54,sAi,await
A47M17M17,sAi,await
O34G39G1D54,sAi,creep
O34G39G1A47D54,sAi,"linger, await, creep"
O34G39G1D54M18X1I9,sAi iit .f,one whose coming is awaited
A47G43D40D21M18M17X1I9,sAi iit .f,one whose coming is awaited
S29Aa17G1A2,sAi,"be wise, prudent, be satisfied, be sated"
Aa18A2,sAi,"be wise, prudent"
S29Aa17G1Y1,sAi,"be wise, prudent"
O34G39G1A2,sAi,"be wise, prudent"
S29Aa18M17M17F10A2,sAi,be satisfied
S29Aa17G1X1A2,sAt,"prudence, wisdom"
O34Aa18A2,sAt,"prudence, wisdom"
S29Aa17G1G1A2,sAA,wisdom
S29Aa17G1G1A2A1,sAA,wise man
S29Aa17G1G43A2,sAw,saiety
S29Aa17G1J2G37,sA,weak
O34G39G1G37,sA,weak
S29Aa17G1J2G37D36Z1,sA a,"the weak of arm, weak man"
A47G1Z7A24,sAi,sift flour  etc
S29Aa17G1M17Z7A24,sAi,sift flour  etc
S29Aa17G1X7,sAi,sift flour  etc
S29Aa17G1M17A1,sAry,needy man
S29Aa17G1M17S32A2,siA,recognize
S29Aa17G1M17M17Y1,sAy,prepare  ? bier
O34G39G1G43M3,sAw,"beam, baulk"
S29Aa17G1Z7M3,sAw,"beam, baulk"
O34G39M17M17G43M3Z2,sAw,"beam, baulk"
O34G39G1Z7O49,sAw,Sais
O34G39G43X1F51Z2,sAwt,loins ?
S29F40G43,sAwi,"lengthen building, prolong lifetime, friendship"
S29F40G43F34Z1,sAwi ib,make glad
S29F40G43Z4AD5,sAwy,keep an eye on
S12Z4AG43N33A,sAwy,gold two - thirds fine ?
O34G39G1G43X1Z4O49,sAwty,Asyut Lycopolis
V16G43X1O49,sAwty,Asyut Lycopolis
O34G39G43X1O49,sAwty,Asyut Lycopolis
O34G1D58N33N33N33N33,sAb,drip
S29U23D58N35A,sAb,drip
O34G1D58E17,sAb,jackal
E17,sAb,jackal
S29D58E17,sAb,jackal
S29U23D58E17,sAb,jackal
S29F28D58E17,sAb,jackal
E17A1,sAb,"dignitary, senior in titles"
E17D21O48A1,sAb r nxn,senior warden of Nekhen
O34U23D58Y1,sAb,make to tarry
S29U23D58Y1A24,sAb,cross water
F28,sAb,dappled of calf
F28H6,sAb Swt,many coloured of plummage of Solar Horus
S29U23D58H6X1Z1H5Z2,sAb Swt,many coloured of plummage of Solar Horus
S29F28X1E1,sAbt,dappled cow
S29F28D58I10X1,sAbt,particoloured snake
S29U23D58X1I14,sAbt,particoloured snake
S29Aa17G1Q3D36,sAp,lay out ? garden
S29Aa17G1Q3X1M2,sApt,lotus - leaf
S29G1G17Q7,sAm,burn up
S29U1G1G17Q7,sAm,burn up
S29Aa17G1G17X1D3,sAmt,lock of hair
S29Aa18G1D21Y1,sAr,be wise
S29Aa18G1D21X1T12A2,sArt,"wisdom, understanding"
S29Aa18G1D21X1Y1,sArt,"wisdom, understanding"
S29Aa17G1M17D21T12,sAir,need
S29Aa17G1M17D21T12A24,sAir,need
S29Aa17G1D21X1T12,sArt,need
S29Aa17G1D21T12M17M17G37,sAry,needy man
S29Aa17G1M17A1,sAry,needy man
S29G1O4O4G43G37,sAhhw,grumbler ?
D61Z1F51,sAH,toe
S29Aa17G1V28D61F51Z1,sAH,toe
S29Aa17G1V28D61D54,sAH,"kick, reach, arrive at"
D61D54,sAH,"reach, arrive at, land from ship, tread the
earth, go to earth = be buried"
D61Y1,sAH,"reach, arrive at, land from ship, tread the
earth, go to earth = be buried"
D61X1,sAHt,neighbourhood
S29J18G1V28X1D62,sAHt,neighbourhood
D61,sAH,dependant ?
S29Aa17G1V28G43D61A1B1Z2,sAHw,"neighbours, dependants"
S29Aa17G1V28D61Y1,sAH,endow with
D63Y1V,sAH,endow with
D61N21Z1,sAH,grant of land
S29Aa17G1V28D61N14A40,sAH,Orion constellation
D61N14G1A40,sAH,Orion constellation
S29G25Aa1Y1,sAx,"spiritualize deceased, glorify god, name,
beautify tomb"
O34G25,sAx,glorify uraeus
S29G25Aa1G43Y1Z2,sAxw,ritual recitations
S29G25G43Y1Z2,sAxw,ritual recitations
S29Aa17G1Aa1M3,sAx,forcibly drive into
S29Aa17G1Aa1G17G43Z5,sAxmw,type of bat mammal
S29Aa17G1S29Aa17G1D54,sAsA,"drive back, repel, force ship over, apply oil"
Aa18Z1Aa18Z1D54,sAsA,"drive back, repel"
S29Aa17G1S29Aa17G1D54D40,sAsA,force ship over
S29Aa17G1N37D21X1Z8,sASrt,"cake, loaf"
O34N37D21X1Z8,sASrt,"cake, loaf"
S29Aa17G1N29I5Y1,sAq,"pull together, be wary"
I5,sAq,"pull together, be wary"
S29Aa17G1N29I5Y1F34Z1,sAq ib,self possessed
S29Aa17G1N29I5Y1F34Z1D21,sAq ib r,set one's heart on
O34G39G1X1G43N23Z2,sAtw,"ground, earth, soil, floor"
G39X1N21Z2,sAtw,"ground, earth, soil, floor"
O34G39X1M3,sAtw,"ground, earth, soil, floor"
G39X1Z4O39,sAtw,"ground, earth, soil, floor"
G39X1G43N21Z2,sAtw,"ground, earth, soil, floor"
O34G39G1X1M3Z2,sAtw,"floor boards, flooring"
G39O34X1O39O39O39,sAtw,"floor boards, flooring"
G39N16I14,sA tA,snake
V16Z1N16N21Z1,sA tA,reverence ?
O34G1V13W57,sAT,"make libation, pour out water"
O34V13A4BA135C,sAT,"make libation, pour out water"
O34V13W57,sAT,"make libation, pour out water"
O34V13W54A4BO39,sAT,libation stone
O34V13W54A4B,sAT,libation stone
O34V13D126,sAT,libation stone
S29G1I10Z1W3,sAD,a festival
S29Aa18D46G1,sAD,a festival
S29M17A363,si,shuffle
S29Z4,sy,"she, her, it"
S29,sy,"she, her, it"
O34,sy,"she, her, it"
O35,sy,"she, her, it"
O34Z4,sy,"she, her, it"
O35M17M17,sy,"who ?, what ?"
O35,sy,"who ?, what ?"
S29,sy,"who ?, what ?"
O35Z4Y1,sy,"who ?, what ?"
D2Z1O35M17M17M17V6N37S29X1,Hr sy iSst,why ?
S29Aa17G1V13P4,sATw,tow boat
S32Z1,siAt,fringed cloth
S29M17G1X1S32,siAt,fringed cloth
S32G1A2,siA,"recognize, perceive, know, be aware of,"
S32A2,siA,"recognize, perceive, know, be aware of,"
S29G1S32A2,siA,"recognize, perceive, know, be aware of,"
S29Aa17G1M17S32A2,siA,"recognize, perceive, know, be aware of,"
S32G1A2A40,siA,"perception, knowledge"
S32G1A2,siA,"perception, knowledge"
S29G1S32A2,siA,"perception, knowledge"
S29Aa17G1M17S32A2,siA,"perception, knowledge"
S32G1N33Z2,siA,orpiment ?
S29M17G1D21D21D4G37,siArr,dose ? a patient
S29M17G1X1D57,siAt,"encroach upon lands, cheat"
S29M17G1V13D57,siAt,encroach upon
D57,siAt,"encroach upon lands, cheat"
