Gardiners,Transliteration,English
M17G1D21G43M2Z2,iArw,rushes plants
M17G1D21D21D7,iArr,"be dim, be weak of heart"
M17G1D21D21D4G37,iArr,"be dim of eye, be weak of heart"
M17G1D21D21X1M43,iArrt,vine
M17D4D21X1M43,iArrt,vine
M17G1D21D21X1D5N33Z2,iArrt,grapes
M17G1D21X1D3,iArt,lock of hair
M17G1Aa1G43N8,iAxw,"sunshine, radiance"
N8G43A40,iAxw,radiance as a god
M17G1Aa1G43A40,iAxw,radiance as a god
M17G1S29A28,iAs,bald
G1O34Aa2,iAs,bald
M17S29Aa2,iAs,bald
M17S29A28,iAs,bald
M17G1N37A2,iAS,"call, summon"
M17G23N29A32B,iAq,leap
M17G1N29X1M2Z2,iAqt,"leeks, vegetables"
M17G1V31G43A19Z3,iAkw,the aged
M17G1V31Z7A20N25,ikw,stone-quarry
M17G1V31D58D3,iAkb,"mourning, wailings"
M17A2V31D58D3A2,iAkb,"mourning, wailings plural"
M17G1V31D58M17M17B77D3Z2,iAkby,mourners
M17G1V13D57G37,iAT,"be injured, be distorted, be missing, abate"
M17G1X1D57,iAT,"be injured, be distorted, be missing from,
abate of fever"
M17G1V13G43D57O1Z2,iATw,shambles
M17G1X1G43D57O1Z2,iATw,shambles
M17G1X1G4O1Z2,iATw,shambles
M17G1X1G4D57,iAtyw,mutilation
M17G1D46A17A1,id,boy
M17G1D46G37,idw,pestilence
M17G1D46X1Z5N4,iAdt,"dew, pouring rain, pestilence, affliction,
influence"
M17D46X1N4,iAdt,pouring rain
N4,iAdt,dew
M17G1D46X1Z5G37Z2,iAdt,intruders
M17G1D46X1Z5N35A,iAdt,influence
M17G1D46X1Z5V1,iAdt,net
M17G1D46X1N18N23Z1,iAdt,tract of land
M18M17D54,ii,"come, return"
M17G43,iiw,welcome
M18M17D54G43Z4,iiw,welcome
M18M17Z4D54U33M17,ii,welcome
M18M17D54G17R4X1Q3,ii m Htp,"come in peace, return safely"
G17M18M17D54N35,m ii n,"as the consequence of, as the outcome of"
M18,ii,"come, return"
M18Z4D54,ii,"come, return"
M18M17Z4D54,ii,"come, return"
M18M17M17D54,ii,"come, return"
M18M17M17X1G37Z2,iyt,"mishap, trouble, harm, wrong"
M18M17M17X1G37,iyt,"mishap, trouble, harm, a wrong which is done"
M18M17M17X1D54,iyt,"mishap, trouble, harm, a wrong which is done"
M18M17M17X1D54G37Z2,iyt,"mishap, trouble, harm, a wrong which is done"
D35M17M17,ii,old negative particle
M17D36O24A,ia,tomb mastaba
M17D36O24A,ia,"ascend, arise"
M17D36N35A,iai,wash
M17D36N35AD40,iai,"wash, wash out an inscription etc"
M17D36G43N35A,iaw,washing
M17D36Z7N35AN5,iaw,breakfast
D154,iaw r,breakfast
M17D36G43N35AD21X2Z1W22Z1,iaw r,breakfast
M17D36G43N35AD154X2Z1W22Z1,iaw r,breakfast
M17D36G43N35AD21Z1,iaw r,breakfast
M17D36D36G43D40,iaaw,cover up
M17D36D58W10,iab,bowl
D36D36D58W10,iab,bowl
M17D36D58F16,iab,heap up corn with a pitchfork
M17D36W10D58Y1,iab,"be united, assemble, join, unite, present"
D36W10D58,iab,present to
D36D58F16Y1K4X1Aa2,iab XAt,"inter, bury"
M17D36D58W10S36C,iab,assemble of persons
M17D36D58F16Y1,iab,be united
M17D36D58W10,iab,be united
M17D36D58O30U,iab,be united
M17D36I9,iaf,"wring out, squeeze out"
D36D36I9D40,iaf,"wring out clothes, squeeze out juice"
D36D36I9Z7D40,iaf,"wring out clothes, squeeze out juice"
M17D36N35W24G43A2,ianw,"greeting ?, woe to"
M17D36N35W24Z1Y1,ianw,greeting
M17D36D21N31,ar,mount up
M17D36D21X1I12,iart,uraeus
D36D21X1I12,iart,uraeus
D36D36D21X1I12,iart,uraeus
M17D36D21X1O1,iart,abode of god
N62AA40,iaH,moon god
M17V28N62G7C,iaH,moon god
M17D36V28C114A,iaH,moon
M17D36V28N11A,iaH,moon
M17D36V28T24N11A,iaH,moon
M17D36N37A2,aS,pilot
M17G43,iw,"is, are"
M17G43A16,iw,hump-back ?
G43D54,iw,"come, return"
N18N23Z1,iw,island
E9G43P1,iwi,"be boatless, strand, leave boatless, helpless,
deprived"
M17G43M17M17P19,iwi,"strand, leave boatless"
E9G43A2,iw,"lament, cry out"
E9G43E14,iw,dog
E9G43G37,iw,"wrongdoing, injustice"
E9G37,iw,wrongdoing
M17V4G1E1,iwA,"ox, long-horned cattle"
M17V4G1F51,iwA,beef
M17V4G1M17M17X1B1,iwAyt,"female representative, substitute"
E9G43M17M17X1G37Z2,iwyt,wrongdoing
E9X1G37Z2,iwyt,wrongdoing
G17E9X1G43,m iwyt,wrongfully
E9G43M17M17X1O1,iwyt,"house, sanctuary, quarter of town, public
places"
E9G43E9G43E14,iwiw,dog
E9G43Z4AO50F27,iwiw,dog
E9G43D36G43F44F51,iwaw,"thigh, leg of beef"
E9D36F44,iwaw,leg of beef
E9D36F44,iwa,"inherit, succeed, act as heir"
E9D36G43F44,iwa,inherit from someone
G43D36F44,iwa,succeed someone
E9D36G43F44A1,iwaw,heir
M17D36F44,iwaw,heir
E9G43D36F44,iwaw,heir
E9G43D36G43A1B1Z2,iwaw,heirs
E9D36X1F44,iwat,heiress
E9D36X1F44Y1Z2,iwat,"inheritance, heritage"
E9D36X1F44,iwat,"inheritance, heritage"
F44X1Y1Z2,iwat,"inheritance, heritage"
E9X1F44Y1,iwat,"inheritance, heritage"
E9X1G43F44,iwat,"inheritance, heritage"
E9G43D36D36X1F44Y1Z2,iwat,"inheritance, heritage"
E9D36X1Z5Y1Z2,iwat,"inheritance, heritage"
E9G43D36D40,iwa,reward
E9D36M17M17X1F44A1Z2,iwayt,troops
E9D36X1A1Z2,iwayt,troops
M17D36M17M17X1A1Z2,iwayt,troops
E9G43D36G43S21,iwaw,ring
M17G43D58X1N18,iwbt,crumb of bread
M17G43I9F51F51F51,iwf,"flesh, meat"
M17I9F51,iwf,flesh of man
M17Z7I9F51BZ2,iwf,flesh of man
M17I9F51BZ2,iwf,meat
M17G43F31S29A2,iwms,misstatement
M17F31S29A2,iwms,misstatement
G1F31S29G37Z2,iwms,misstatement
M17E34N35D3,iwn,"complexion, colour, nature, disposition"
M17E34N35F27,iwn,"complexion, colour, nature, disposition"
M17E34N35D3Y1,iwn,"complexion, colour, nature, disposition"
O28Z1,iwn,pillar
O28O28O28X1O1,iwnyt,pillared hall
O28W24M17M17X1O1,iwnyt,pillared hall
E9G43N35M17M17X1O1,iwnyt,pillared hall
O28X1Z1,iwnt,bow
O28X1T10,iwnt,bow
O28Z1Z2T14A13Z2,iwntyw,tribesmen
O28X1Z1Z3,iwntyw,tribesmen
O28O28O28,iwntyw,tribesmen
O28A462O28A462O28A462,iwntyw,tribesmen
O28N35X1O49,iwnt,Denderah
O28N35M17O49,iwni,Hermonthis
O28N35Z4O49,iwni,Hermonthis
O28M17M17X1O49,iwnyt,"Latopolis, Esna"
O28W24O49,iwnw,Heliopolis
E9G43N35N35O1,iwnn,sanctuary
E9N35N35O1,iwnn,sanctuary
E9D21B12,iwr,"conceive a child, become pregnant"
E9G43G36D21B2,iwr,"conceive, become pregnant"
E9G43G36D21Z5,iwr,"conceive a child, become pregnant"
E9D21M17M17X1N33Z2,iwryt,beans
E9Z7D21M17M17X1N33M33A,iwryt,beans
E9Z7O4D41D40,iwh,load
E9G43V28N35A,iwH,"moisten, water field-plots, inject, flood"
E9V28N35A,iwH,moisten
E9G43V28G43N35A,iwHw,inundation
E9G43M23G43M3,iwsw,balance of scales
E9O34U91,iwsw,balance
E9G43M23G43U38A,iwsw,balance
E9G43N37N37N33,iwSS,gruel
M17G43W11D21X1N25,iwgrt,realm of the dead
D35X1Z4G37,iwty,"who.......not, which.       not"
D35G43X1,iwty,"who.......not, which.       not"
M17G43D35X1,iwty,"who.......not, which.       not"
M17G43D35U33M17,iwty,"who.......not, which.       not"
D35X1X1G37Z2,iwtt,"what is not, does not exist"
D35G43X1X1,iwtt,"what is not, does not exist"
M17G43D35X1X1,iwtt,"what is not, does not exist"
E9G43X1G4Aa2Z2,iwtyw,corruption
E9X1N35N21Z1,iwtn,"ground, floor, flooring"
E9G43D46D54,iwd,separate x from y
E9G43D46X1D54,iwdt,separation
F34Z1,ib,"heart, mind, understanding, intelligence, will,
desire, mood, wish"
M17D58E8F27,ib,kid goat
M17D58N4E8,ib,kid goat
M17D58A2,ibi,"be thirsty, thirst after something"
M17D58M17N35A,ibi,"be thirsty, thirst after something"
M17D58E8A2,ibi,"be thirsty, thirst after something"
M17D58E8N35AA24,ibi,"be thirsty, thirst after something"
M17D58E8A2A1,ib,thirsty man
M17D58E8N35AA2A1,ib,a thirsty man
M17D58E8X1N35A,ibt,thirst
M17X1D58N35A,ibt,thirst
M17D58X1E3N35AA2,ibt,thirst
M17D58X1N35AA2,ibt,thirst
M17D58X1E8,ibt,thirst
M17D58E8X1A2,ibt,thirst
M17D58A2,ib,"think, suppose"
M17D58E8A2,ib,"think, suppose"
M17D58E3A2,ib,"think, suppose"
M17D58O1,ibw,refuge
M17D58A32,ibA,dance
M17D58E8Y6,ibA,draughtsman
Y6,ibA,draughtsman
M17D58Y6G43E28,ibAw,Barbary sheep
M17D58G29G1G43E28,ibAw,Barbary sheep
M17D58F40G43F27Z1,ibAw,Barbary sheep
M17D58E8Z7O1,ibw,"refuge, shelter"
M17D58G43O1,ibw,"refuge, shelter"
M17D58O1,ibw,"refuge, shelter"
M17D58G43O18,ibw,tent of purification
M17D58G43Z4V1Z2,ibwy,halliard of ship ?
M17D58G43V1,ibwy,halliards of ship
M17D58G43G43V1Z2,ibwy,halliards of ship
M17D58G43G43V1Z2,ibwy,halliards of ship
M17D58D21W1W23Z2,ibr,ladanum
M17D58E3M17W22,ibr,ladanum ?
M17D58D21M17N33Z2,ibr,ladanum ?
M17D58O4X1N25,ibht,Ibhet
M17D58O4G1X1N25,ibht,Ibhet
M17D58O4X1Z4O39,ibhty,Ibhet-stone
M17D58E3O4G1G43X1Z4N33Z2,ibhty,Ibhet stone
F18Z1,ibH,tooth
M17D58V28F18Z1,ibH,"tooth, tusk"
M17D58E8V28N35AA24,ibH,"stream with liquid, be suffused with blood"
M17D58E3V28N35AF18Z2,ibH,"stream with liquid, be suffused with blood"
M17D58V13X1D56,ibTt,part of leg
M17D58E8V28G43N35A,ibHw,libationer
M17D58V28N35A,ibHw,libationer
M17D58S29S57,ibs,headdress of king
R15D58S29S57,ibs,headdress of king
M17D58V13T26,ibT,bird-trap
M17D58X1T26,ibT,bird - trap
M17Q3Y1,ip,"count, reckon up, make reckoning, assess,
allot"
M17Q3Y1,ip,"exact, detail, claim, examine, recognize, take
heed of"
M17Q3Y1,ip,"set in order, muster, assemble,"
M17Q3Y1,ip,"accounting, estimation"
M17Q3Y1I10X1Z1,ip Dt,"collect one's wits, recover one's senses, having
his wits about him"
M17Q3X1Y1,ipt,census
M17Q3G43Y1Z2,ipw,payments
M17Q3X1U9,ipt,grain-measure of 4 heqat
M17Q3X1Q1X1Z2,ipt swt,Temple of Karnak
M17Q3X1F27B1,ipt,Twelfth month name and festival
M17Q3G40G1O1Z1,ipA,private office
M17G40X1O1,ipAt,private office
M17Q3G43O49,ipw,Akhmim
N36N23Q3Z7O49,ipw,Akhmim
M17Q3G43,ipw,these
M17Q3I9,ipf,those
M17Q3N35,ipn,these
M17Q3V28E12,ipH,"swine, pigs"
M17Q3X1G43,iptw,these
M17Q3X1G43X1,iptwt,these
M17Q3X1I9,iptf,those
M17Q3X1N35,iptn,these
M17Q3D46G43M3Z2,ipdw,furniture
G1Q3D46M3Z2,ipdw,furniture
M17I9F51,if,flesh
M17I9D46D41Z2,ifd,quadruple
M17I9D46X1Z2,ifdt,"a four, quartette"
M17I9D46O39,ifd,rectangular
M17I9D46O39S28,ifd,cloth
M17I9D46Z4D41S28,ifdy,"couch, cloth"
M17I9D46Z4D41V6M3X1Z1,ifdy,couch
M17I9D46D54,ifd,flee
M17I9D46Z4D41D56D54,ifd,flee
M17G17,im,"there, therein, therewith, therefrom"
M17G17Aa5,im,"form, shape, side"
Aa5Z1,im,"form, shape"
M17Aa5G17F51B,im,"form, shape"
M17Aa5G17A2,im,moan
M17Aa5N35AA2,im,moan
M17Aa5G17X1A2,imt,"groaning, grief"
M17Aa5G17A2Z2,imw,grief
M17Aa5G17G43Y1Z2,imw,grief
M17Aa5G17X1A18Z4O49,imt,Tell el-Farun Nebeshah
M17G17X1W10,imt,wine of Imt
Aa5X1W10,imt,wine of Imt
M17Aa5X1A18,imty,foster-child
A18X1,imty,foster child of king of Lower Egypt
M17Aa5G17N33Z2Z1,im,gesso ?
M17Aa5G17M17M17X1Y1Z2,imyt,pigment
